"COM
CODE",COURSENO,COURSETITLE,CREDIT L P U,SEC,STAT,INSTRUCTOR IN CHARGE/Instructor,DAYS/ H,ROOM,COMPRE DATE
1114,BIO F212,MICROBIOLOGY,3 1 4,2,P,"Vijayashree Nayak,Pranjita  Zantye Ganesh,Shameer AhmedB,ZakaneReshma Nanasaheb",TH 7 8 9,,
1113,BIO F213,CELL BIOLOGY,3 0 3,1,L,INDRANI TALUKDAR/ Angshuman Sarkar,M W F 3,C303,03/12/18 (AN)
1113,BIO F213,CELL BIOLOGY,3 0 3,1,T,Indrani Talukdar/ Angshuman Sarkar,T 10,C303,
1115,BIO F214,INTEGRATED BIOLOGY,3 0 3,1,L,SUMIT BISWAS/ Arnab Banerjee,M W F 4,C303,08/12/18 (AN)
1115,BIO F214,INTEGRATED BIOLOGY,3 0 3,1,T,Sumit Biswas/ Arnab Banerjee,TH 10,C304,
1941,BIO F216,"WATER,SANITATION & SOLIDWASTE MGMT",3 0 3,1,L,SRIKANTH MUTNURI,,,TBA
2264,BIO F217,"LABORATORY FOR WATER,SANITATION AND SOLID WASTE MANAGEMENT",1 2 3,1,P,"SRIKANTH MUTNURI, Anant Yadav, Guruprasad V Talekar , Priya Sharma, Ram Chavan",TH 8 9,,TBA
1651,BIO F266,STUDY PROJECT,3,1,I,SRIKANTH MUTNURI,,,
1427,BIO F311,RECOMBINANT DNA TECH,3 0 3,1,L,UTPAL ROY/ Sandhya Mehrotra,T TH S 2,C303,07/12/18 (FN)
1427,BIO F311,RECOMBINANT DNA TECH,3 0 3,1,T,Utpal Roy/ Sandhya Mehrotra,W 1,C303,
1428,BIO F312,PLANT PHYSIOLOGY,3 0 3,1,L,KUNDAN KUMAR,M W F 5,C303,11/12/18 (FN)
1428,BIO F312,PLANT PHYSIOLOGY,3 0 3,1,T,Kundan Kumar,TH 7,C303,
1429,BIO F313,ANIMAL PHYSIOLOGY,3 0 3,1,L,DIBAKAR CHAKRABARTY,M W F 9,C303,13/12/18 (FN)
1429,BIO F313,ANIMAL PHYSIOLOGY,3 0 3,1,T,Dibakar Chakrabarty,T 10,C304,
1439,BIO F352,"CELL AND TISSUE CULTURE TECHNOLOGY",3 1 4,1,L,ANGSHUMAN SARKAR,M W F 7,C303,14/12/18 (FN)
1439,BIO F352,"CELL AND TISSUE CULTURE TECHNOLOGY",3 1 4,1,P,Angshuman Sarkar,,,
1650,BIO F366,LABORATORY PROJECT,3,1,I,SRIKANTH MUTNURI,,,
1736,BIO F367,LABORATORY PROJECT,3,1,I,SRIKANTH MUTNURI,,,
1685,BIO F376,DESIGN PROJECT,3,1,I,SRIKANTH MUTNURI,,,
1752,BIO F377,DESIGN PROJECT,3,1,I,SRIKANTH MUTNURI,,,
1433,BIO F417,BIOMOLECULAR MODELLING,3 0 3,1,L,SUKANTA MONDAL/ Raviprasad Aduri,M W F 7,C304,14/12/18 (FN)
1434,BIO F418,GENETIC ENG TECH,1 3 4,1,L,KUNDAN KUMAR/ Malabika Biswas/ Utpal Roy,F 8,C305,30/11/18 (FN)
1434,BIO F418,GENETIC ENG TECH,1 3 4,1,P,"Kundan Kumar, Malabika Biswas, Utpal Roy,Manali R Malvankar,Rehan Ahmed Deshmukh,Swetha Ramesh,Vijaya",M W 8 9 10,,
1441,BIO F431,REPRODUCTIVE PHYSIOLOGY,3 0 3,1,L,ARNAB BANERJEE/ Dibakar Chakrabarty,T TH S 2,C302,07/12/18 (FN)
1710,BIO F491,SPECIAL PROJECTS,3,1,I,SRIKANTH MUTNURI,,,
2122,BIO G510,"APPLICATION OF COMPUTERS AND STATISTICS IN BIOLOGY",5,1,L,SUKANTA MONDAL,T TH S 2,C304,07/12/18 (FN)
71,BIO G512,MOLEC MECH OF GENE EXPR,3 2 5,1,L,MALABIKA BISWAS/ Sumit Biswas,T TH S 5,C304,04/12/18 (FN)
392,BIO G514,MOLECULAR IMMUNOLOGY,3 2 5,1,L,VIJAYASHREE NAYAK,M W F 2,C304,10/12/18 (AN)
111,BIO G515,STEM CELL & REGENER BIO,3 1 4,1,L,ANASUYA GANGULY,T TH S 2,C305,07/12/18 (FN)
2009,BIO G523,ADV & APPLIED MICROBIO,3 2 5,1,L,MEENAL KOWSHIK,T TH S 4,C305,05/12/18 (AN)
2007,BIO G525,ENV BIOTECH &WASTE MGMT,3 2 5,1,L,SRIKANTH MUTNURI,M W F 5,C304,11/12/18 (FN)
192,BIO G526,CANCER BIOLOGY,3 2 5,1,L,ANGSHUMAN SARKAR,T TH S 3,C304,12/12/18 (FN)
2015,BIO G532,BIOSTAT & BIOMODEL,3 1 4,1,L,VEEKY BATHS/Sukanta Mondal,M W F 3,C304,03/12/18 (AN)
151,BIO G542,ADVANCED CELL MOLE BIO,5,1,L,INDRANI TALUKDAR/Utpal Roy,T TH S 4,C304,05/12/18 (AN)
2168,BIO G561,ADV IN RECOMB DNA TECH,3 2 5,1,L,SANDHYA MEHROTRA,M W F 5,C305,11/12/18 (FN)
2016,BIO G612,HUMAN GENETICS,3 2 5,1,L,ANASUYA GANGULY,M W F 7,C307,14/12/18 (FN)
2018,BIO G661,GENE TOXICOLOGY,3 1 4,1,L,ARNAB BANERJEE/Rajesh Mehrotra,M W F 8,C304,01/12/18 (FN)
549,BITS C790T,INDEPENDENT STUDY,2,1,I,BHARAT M DESHPANDE,,,
596,BITS C791T,TEACHING PRACTICE I,1,1,I,BHARAT M DESHPANDE,,,
520,BITS C797T,PH D SEMINAR,1,1,I,BHARAT M DESHPANDE,,,
553,BITS C799T,PH D THESIS,10,1,I,BHARAT M DESHPANDE,,,
2120,BITS E573,STUDY IN ADV TOPIC I,5,1,I,BHARAT M DESHPANDE,,,
2101,BITS E661,RESEARCH METHODOLOGY I,5,1,I,BHARAT M DESHPANDE,,,
857,BITS E793T,PRACTICE LECT SERIES I,1,1,I,BHARAT M DESHPANDE,,,
1003,BITS F110,ENGINEERING GRAPHICS,1 2 2,1,L,RAVINDRA SINGH SALUJA/ Amal S Siju,M 7,LT1,12/12/18 (AN)
1003,BITS F110,ENGINEERING GRAPHICS,1 2 2,2,L,Ravindra Singh Saluja/ Amal S Siju,T 8,LT1,
1003,BITS F110,ENGINEERING GRAPHICS,1 2 2,1,T,Karthikeyan G,TH 7,A605,
1003,BITS F110,ENGINEERING GRAPHICS,1 2 2,2,T,Ravindra Singh Saluja,TH 7,DLT5,
1003,BITS F110,ENGINEERING GRAPHICS,1 2 2,3,T,Sandeep Singh,TH 7,A503,
1003,BITS F110,ENGINEERING GRAPHICS,1 2 2,4,T,Varinder Singh,TH 7,A602,
1003,BITS F110,ENGINEERING GRAPHICS,1 2 2,5,T,Chaudhari Vikas Vinayak,TH 7,C401,
1003,BITS F110,ENGINEERING GRAPHICS,1 2 2,1,P,"Ravindra Singh Saluja ,Sandeep Jose, Sandeep Singh ,Rushikesh Bhagwanrao Shinde ,Chandrashekhar Chauhan",M 2 3,CC219,
1003,BITS F110,ENGINEERING GRAPHICS,1 2 2,2,P,"Karthikeyan G,Pritanshu Ranjan ,Naveen K S , Dixit Swadesh Sandesh,Chandrashekhar Chauhan",M 8 9,CC219,
1003,BITS F110,ENGINEERING GRAPHICS,1 2 2,3,P,"Pritanshu Ranjan ,Vadiraj Hemadri ,PozhilSN , Naveen K S ,Dixit Swadesh Sandesh",T 2 3,CC219,
1003,BITS F110,ENGINEERING GRAPHICS,1 2 2,4,P,"Siddhartha Tripathi, Vadiraj Hemadri ,Rushikesh Bhagwanrao Shinde ,Manoj Kumar Hilalpure ,Chandrashekhar Chauhan",W 4 5,CC219,
1003,BITS F110,ENGINEERING GRAPHICS,1 2 2,5,P,"Sandeep Jose, Siddhartha Tripathi,PozhilSN ,Manoj Kumar Hilalpure ,Dixit Swadesh Sandesh",TH 4 5,CC219,
1005,BITS F112,TECHNICAL REPORT WRITING,2 0 2,1,L,GEETHA K A,T TH 9,A605,03/12/18 (FN)
1005,BITS F112,TECHNICAL REPORT WRITING,2 0 2,2,L,Rayson Alex,T TH 9,A602,
1005,BITS F112,TECHNICAL REPORT WRITING,2 0 2,3,L,Geetha B,T TH 9,C405,
1005,BITS F112,TECHNICAL REPORT WRITING,2 0 2,4,L,Amitendu Bhattacharya,T TH 9,C401,
1632,BITS F225,ENVIRONMENTAL STUDIES,3 0 3,1,L,JUDITH MARIA BRAGANCA,,,30/11/18 (AN)
1632,BITS F225,ENVIRONMENTAL STUDIES,3 0 3,1,I,"B Gautam Kumar, Bibhudutta Mishra",,,
1334,BITS F312,NEURAL NETW & FUZZY LOGIC,3 0 3,1,L,TIRTHARAJ DASH,T 10 11 TH 10,C302,06/12/18 (AN)
2277,BITS F314,"GAME THEORY AND ITS APPLICATIONS",3 0 3,1,L,HIMADRI MUKHERJEE,M W F 8,C308,01/12/18 (AN)
2265,BITS F315,"INTRODUCTION TO COGNITIVE NEUROSCIENCE",3 0 3,1,L,VEEKY BATHS,T TH S 2,C401,07/12/18 (AN)
1791,BITS F382,READING COURSE,3,1,I,ADITYA PRASAD KOLEY,,,30/11/18 (FN)
1337,BITS F386,"QUANTUM INFORMATION AND COMPUTATION",3 0 3,1,L,RADHIKA VATHSAN,M W F 10,C401,09/12/18 (FN)
1809,BITS F417,MICRO-FLUIDICS & ITS APP,4,1,L,JEGTHA KRISHNAN,M W F 7,A503,14/12/18 (FN)
1593,BITS F421T,THESIS,16,1,I,BHARAT M DESHPANDE,,,
1616,BITS F422T,THESIS,16,1,I,BHARAT M DESHPANDE,,,
1617,BITS F423T,THESIS,9,1,I,BHARAT M DESHPANDE,,,
1619,BITS F424T,THESIS,9,1,I,BHARAT M DESHPANDE,,,
2001,BITS F437,TECHNICAL COMMUNICATION,3 0 3,1,L,SHALINI UPADHYAY,M W F 4,C401,08/12/18 (AN)
1796,BITS F462,RENEWABLE ENERGY,3 0 3,1,L,MUKUND KESHAVRAO DESHMUKH,M W F 7,A603,14/12/18 (FN)
1338,BITS F463,CRYPTOGRAPHY,3 0 3,1,L,SANJAY KUMAR SAHAY,M W F 7,A602,14/12/18 (FN)
1339,BITS F464,MACHINE LEARNING,3 0 3,1,L,ASHWIN SRINIVASAN,T TH S 4,A602,05/12/18 (AN)
1379,BITS F467,BIOETHICS & BIOSAFETY,3 0 3,1,L,SUMIT BISWAS,M W F 10,C303,09/12/18 (FN)
499,BITS G511,ADVANCED PROJECT,5,1,I,BHARAT M DESHPANDE,,,
547,BITS G513,STUDY IN ADVANCED TOPICS,5,1,I,BHARAT M DESHPANDE,,,
754,BITS G529,RESEARCH PROJECT I,6,1,I,BHARAT M DESHPANDE,,,
755,BITS G539,RESEARCH PROJECT II,6,1,I,BHARAT M DESHPANDE,,,
9,BITS G553,REAL TIME SYSTEMS,5,1,L,ANUPAMA K R,M W F 9,A501,12/12/18 (AN)
9,BITS G553,REAL TIME SYSTEMS,5,1,P,Anupama K R,,,
2164,BITS G562T,DISSERTATION,16,1,I,BHARAT M DESHPANDE,,,
753,BITS G619,PROFESSIONAL PRACTICE,4,1,I,BHARAT M DESHPANDE,,,
757,BITS G649,READING COURSE,5,1,I,BHARAT M DESHPANDE,,,
601,BITS G654,"ADVANCED INSTRUMENTATION TECH",5,1,I,BHARAT M DESHPANDE,,,
1069,CHE F211,CHEMICAL PROCESS CALCULA,3 0 3,1,L,PRADEEP KUMAR SOW,T TH S 4,A605,05/12/18 (FN)
1069,CHE F211,CHEMICAL PROCESS CALCULA,3 0 3,1,T,Pradeep Kumar Sow,M 1,A605,
1072,CHE F212,FLUID MECHANICS,3 0 3,1,L,RAJAGOPAL VELLINGIRI,M W F 3,A605,03/12/18 (AN)
1072,CHE F212,FLUID MECHANICS,3 0 3,1,T,Rajagopal Vellingiri,S 1,A602,
1071,CHE F213,CHEM ENGG THERMODYNAM,3 0 3,1,L,ANIRBAN ROY,T TH S 3,A605,12/12/18 (FN)
1071,CHE F213,CHEM ENGG THERMODYNAM,3 0 3,1,T,Anirban Roy,T 1,A605,
1070,CHE F214,ENGINEERING CHEMISTRY,3 0 3,1,L,MANJURI KUMAR,M W F 8,A605,01/12/18 (AN)
1070,CHE F214,ENGINEERING CHEMISTRY,3 0 3,1,T,Manjuri Kumar,T 8,A605,
1653,CHE F266,STUDY PROJECT,3,1,I,SAROJ SUNDAR BARAL,,,
1184,CHE F311,KINETICS & REACTOR DESIG,3 0 3,1,L,SRINIVAS KRISHNASWAMY,M W F 4,A605,08/12/18 (AN)
1184,CHE F311,KINETICS & REACTOR DESIG,3 0 3,1,T,Srinivas Krishnaswamy,F 1,A605,
1185,CHE F312,CHEMICAL ENGG LAB I,0 3 3,1,P,"AMOL DESHPANDE,  Asima Shaukat, Jegtha Krishnan, Richa Singhal, Parul Sahu, Akanksha Gavendra, Anupam Mukherjee, Chandresh Kumar Dwivedi, Ishita, Kadu Kavita Haribhau , M Dileep,  Mohd Mubashshir , Mouna H M, Parsekar Sidhali Uday,  Pragya Singh, V Kaarthick Raaaja",T TH 7 8 9,,TBA
1186,CHE F313,SEPARATION PROCESSES II,3 0 3,1,L,RICHA SINGHAL/ Manjuri Kumar,T TH S 5,A503,04/12/18 (AN)
1186,CHE F313,SEPARATION PROCESSES II,3 0 3,1,T,Richa Singhal/ Manjuri Kumar,TH 10,C402,
1187,CHE F314,PROCESS DES PRINCIPLESI,3 0 3,1,L,SAMPATRAO D MANJARE,M W F 2,A605,10/12/18 (FN)
1187,CHE F314,PROCESS DES PRINCIPLESI,3 0 3,1,T,Sampatrao D Manjare,TH 1,A605,
1189,CHE F342,PROCESS DYNAMICS AND CONTROL,3 0 3,1,L,SAROJ SUNDAR BARAL,M W F 3,A501,07/12/18 (FN)
1189,CHE F342,PROCESS DYNAMICS AND CONTROL,3 0 3,1,T,Saroj Sundar Baral,M 1,A501,
1668,CHE F366,LABORATORY PROJECT,3,1,I,SAROJ SUNDAR BARAL,,,
1738,CHE F367,LABORATORY PROJECT,3,1,I,SAROJ SUNDAR BARAL,,,
1687,CHE F376,DESIGN PROJECT,3,1,I,SAROJ SUNDAR BARAL,,,
1754,CHE F377,DESIGN PROJECT,3,1,I,SAROJ SUNDAR BARAL,,,
1201,CHE F414,TRANSPORT PHENOMENA,3 0 3,1,L,ASIMA SHAUKAT,M W F 9,A503,13/12/18 (FN)
1211,CHE F416,PROCESS PLANT DESIGN PROJECT I,3,1,I,PARUL SAHU,,,
1205,CHE F421,BIO-CHEMICAL ENGINEERING,3 0 3,1,L,VIVEK RANGARAJAN,M W F 3,A503,03/12/18 (FN)
2178,CHE F422,"PETROLEUM REFINING TECHNOLOGY",3 0 3,1,L,AMOL DESHPANDE,M W F 8,A503,01/12/18 (AN)
1202,CHE F433,CORROSION ENGINEERING,3 0 3,1,L,SUTAPA ROY RAMANAN,T TH S 3,A503,12/12/18 (FN)
1208,CHE F471,ADVANCE PROCESS CONTROL,3 0 3,1,L,SAROJ SUNDAR BARAL,T TH S 2,A503,07/12/18 (FN)
1209,CHE F491,SPECIAL PROJECTS,3,1,I,SAROJ SUNDAR BARAL,,,
2002,CHE G523,MATH METHODS IN CHEM ENG,3 2 5,1,L,RAJAGOPAL VELLINGIRI,M W F 8,A505,01/12/18 (AN)
2084,CHE G528,INTRO TO NANO SCI & TECH,3 1 4,1,L,SUTAPA ROY RAMANAN,M W F 9,A506,13/12/18 (FN)
2152,CHE G558,CHEMICAL PROCESS OPTIMIZATION,4,1,L,SHARAD SONTAKKE,M W F 5,A503,11/12/18 (FN)
2032,CHE G622,ADV CHEMICAL ENGG THERMO,3 2 5,1,L,SRINIVAS KRISHNASWAMY,T TH S 4,A506,05/12/18 (AN)
1006,CHEM F110,CHEMISTRY LABORATORY,0 2 1,1,P,"Mainak Banerjee, Zigmee Thupden Bhutia, Gawas Ram Uttam",M 4 5,C114,TBA
1006,CHEM F110,CHEMISTRY LABORATORY,0 2 1,2,P,"SUBHADEEP BANERJEE, Kerkar Shubhada Santosh, Phadte Apeksha Ashok ,Krishna Kumari Swain",M 8 9,C114,
1006,CHEM F110,CHEMISTRY LABORATORY,0 2 1,3,P,"Tincy Lis Thomas, Sindhuja Sen,  Sharanabasava D Hiremath",T 4 5,C114,
1006,CHEM F110,CHEMISTRY LABORATORY,0 2 1,4,P,"Bhavana P,Rashmi Chauhan, Naik Viraj Ganpat, S Baranitharan",T 7 8,C114,
1006,CHEM F110,CHEMISTRY LABORATORY,0 2 1,5,P,"Narendra Nath Ghosh, Sharanabasava D Hiremath, S Baranitharan",W 2 3,C114,
1006,CHEM F110,CHEMISTRY LABORATORY,0 2 1,6,P,"Subhadeep Banerjee, Kerkar Shubhada Santosh, Phadte Apeksha Ashok, Krishna Kumari Swain",W 8 9,C114,
1006,CHEM F110,CHEMISTRY LABORATORY,0 2 1,7,P,"Amrita Chatterjee, Zigmee Thupden Bhutia, Gawas Ram Uttam",TH 2 3,C114,
1006,CHEM F110,CHEMISTRY LABORATORY,0 2 1,8,P,"Narendra Nath Ghosh, Zigmee Thupden Bhutia, Naik Viraj Ganpat",F 2 3,C114,
1006,CHEM F110,CHEMISTRY LABORATORY,0 2 1,9,P,"Jayadevan K P, Sindhuja Sen, S Baranitharan",F 4 5,C114,
1006,CHEM F110,CHEMISTRY LABORATORY,0 2 1,10,P,"Prakash Halan, Kerkar Shubhada Santosh, Phadte Apeksha Ashok, Krishna Kumari Swain",F 8 9,C114,
1006,CHEM F110,CHEMISTRY LABORATORY,0 2 1,11,P,"Rabi Narayan Panda, Sharanabasava D Hiremath, Naik Viraj Ganpat",S 2 3,C114,
1006,CHEM F110,CHEMISTRY LABORATORY,0 2 1,12,P,"Amrita Chatterjee,Anjan Chattopadhyay, Sindhuja Sen,Gawas Ram Uttam",S 4 5,C114,
1007,CHEM F111,GENERAL CHEMISTRY,3 0 3,1,L,BHAVANA P/ Ranjan Dey/ Rashmi Chauhan,M W F 3,LT1,06/12/18 (FN)
1007,CHEM F111,GENERAL CHEMISTRY,3 0 3,1,T,Jayadevan K P,M 8,C401,
1007,CHEM F111,GENERAL CHEMISTRY,3 0 3,2,L,Bhavana P/ Ranjan Dey/ Rashmi Chauhan,M W F 3,LT1,
1007,CHEM F111,GENERAL CHEMISTRY,3 0 3,2,T,Raghu Nath Behera,M 1,A601,
1007,CHEM F111,GENERAL CHEMISTRY,3 0 3,3,L,Bhavana P/ Ranjan Dey/ Rashmi Chauhan,M W F 3,LT1,
1007,CHEM F111,GENERAL CHEMISTRY,3 0 3,3,T,Subhadeep Banerjee,T 1,LT1,
1007,CHEM F111,GENERAL CHEMISTRY,3 0 3,4,L,Bhavana P/ Ranjan Dey/ Rashmi Chauhan,M W F 3,LT1,
1007,CHEM F111,GENERAL CHEMISTRY,3 0 3,4,T,Tincy Lis Thomas,M 1,C405,
1007,CHEM F111,GENERAL CHEMISTRY,3 0 3,5,L,Bhavana P/ Ranjan Dey/ Rashmi Chauhan,M W F 8,LT1,
1007,CHEM F111,GENERAL CHEMISTRY,3 0 3,5,T,Jayadevan K P,M 1,A602,
1007,CHEM F111,GENERAL CHEMISTRY,3 0 3,6,L,Bhavana P/ Ranjan Dey/ Rashmi Chauhan,M W F 8,LT1,
1007,CHEM F111,GENERAL CHEMISTRY,3 0 3,6,T,Subhadeep Banerjee,M 1,C401,
1007,CHEM F111,GENERAL CHEMISTRY,3 0 3,7,L,Bhavana P/ Ranjan Dey/ Rashmi Chauhan,M W F 8,LT1,
1007,CHEM F111,GENERAL CHEMISTRY,3 0 3,7,T,Tincy Lis Thomas,T 1,C405,
1007,CHEM F111,GENERAL CHEMISTRY,3 0 3,8,L,Bhavana P/ Ranjan Dey/ Rashmi Chauhan,T TH S 5,LT1,
1007,CHEM F111,GENERAL CHEMISTRY,3 0 3,8,T,Subhadeep Banerjee,T 1,LT1,
1007,CHEM F111,GENERAL CHEMISTRY,3 0 3,9,L,Bhavana P/ Ranjan Dey/ Rashmi Chauhan,T TH S 5,LT1,
1007,CHEM F111,GENERAL CHEMISTRY,3 0 3,9,T,Jayadevan K P,T 8,A602,
1007,CHEM F111,GENERAL CHEMISTRY,3 0 3,10,L,Bhavana P/ Ranjan Dey/ Rashmi Chauhan,T TH S 5,LT1,
1007,CHEM F111,GENERAL CHEMISTRY,3 0 3,10,T,Raghu Nath Behera,S 1,C405,
1007,CHEM F111,GENERAL CHEMISTRY,3 0 3,11,L,Bhavana P/ Ranjan Dey/ Rashmi Chauhan,T TH S 5,LT1,
1007,CHEM F111,GENERAL CHEMISTRY,3 0 3,11,T,Tincy Lis Thomas,T 8,C405,
1007,CHEM F111,GENERAL CHEMISTRY,3 0 3,1,I,Oruganti Yasaswini,,,
1116,CHEM F211,PHYSICAL CHEMISTRY I,3 0 3,1,L,RANJAN DEY/ Jayadevan K P,T TH S 3,A601,12/12/18 (FN)
1116,CHEM F211,PHYSICAL CHEMISTRY I,3 0 3,1,T,Ranjan Dey/ Jayadevan K P,TH 8,A601,
1117,CHEM F212,ORGANIC CHEMISTRY I,3 0 3,1,L,MAINAK BANERJEE/ Subhadeep Banerjee,T TH S 4,C306,05/12/18 (FN)
1117,CHEM F212,ORGANIC CHEMISTRY I,3 0 3,1,T,Mainak Banerjee/ Subhadeep Banerjee,TH 7,C306,
1118,CHEM F213,PHYSICAL CHEMISTRY II,3 0 3,1,L,ANJAN CHATTOPADHYAY/ Raghu Nath Behera,T TH 4-5:30 PM,C306,08/12/18 (FN)
1118,CHEM F213,PHYSICAL CHEMISTRY II,3 0 3,1,T,Anjan Chattopadhyay/ Raghu Nath Behera,TH 5,C306,
1119,CHEM F214,INORGANIC CHEMISTRY I,3 0 3,1,L,ADITYA PRASAD KOLEY/ Rabi Narayan Panda,M W F 3,C305,03/12/18 (AN)
1119,CHEM F214,INORGANIC CHEMISTRY I,3 0 3,1,T,Aditya Prasad Koley/ Rabi Narayan Panda,F 1,C305,
1654,CHEM F266,STUDY PROJECT,3,1,I,TINCY LIS THOMAS,,,
1559,CHEM F311,ORGANIC CHEMISTRY III,3 0 3,1,L,AMRITA CHATTERJEE/ Tincy Lis Thomas,M W F 5,C306,11/12/18 (FN)
1559,CHEM F311,ORGANIC CHEMISTRY III,3 0 3,1,T,Amrita Chatterjee/ Tincy Lis Thomas,W 1,C306,
